chr	Start	End	Deletion_Size
2L	4048013 	 4050096 	 2083
2L 	 4053188 	 4053259 	 71
2L 	 4077995 	 4078096 	 101
2L	4085746 	 4086398 	 652
2L	4086825 	 4091726 	 4901
2L	4103953 	 4104796 	 843
2L	4132228 	 4135923 	 3695
2L 	 4158869 	 4158993 	 124
2L	4225307 	 4225361 	 54
2L 	 4233034 	 4233154 	 120
2L	4243019 	 4244637 	 1618
2L	4270435 	 4271598 	 1163
2L	4279218 	 4283674 	 4456
2L 	 4304853 	 4304971 	 118
2L	4351990 	 4352201 	 211
2L	4367503 	 4380526 	 13023
2L	4392048 	 4395002 	 2954
2L 	 4473533 	 4473652 	 119
2L	4492702 	 4492830 	 128
2L	4496901 	 4497032 	 131
2L	4506084 	 4513856 	 7772
2L	4526324 	 4529303 	 2979
2L 	 4532540 	 4532663 	 123
2L 	 4595692 	 4595760 	 68
2L 	 4595845 	 4595904 	 59
2L 	 4596754 	 4596813 	 59
2L 	 4603138 	 4603201 	 63
2L	4607538 	 4644972 	 37434
2L	4648892 	 4652534 	 3642
2L	4670164 	 4672589 	 2425
2L	4685249 	 4685303 	 54
2L 	 4703974 	 4704092 	 118
2L	4716191 	 4730345 	 14154
2L 	 4733855 	 4733956 	 101
2L	4751579 	 4751633 	 54
2L	4755313 	 4756926 	 1613
2L	4760481 	 4762082 	 1601
2L	4762724 	 4770257 	 7533
2L	4817762 	 4820856 	 3094
2L	4828755 	 4829780 	 1025
2L 	 4834341 	 4834448 	 107
2L	4841208 	 4842599 	 1391
2L	4852376 	 4856137 	 3761
2L	4896680 	 4905899 	 9219
2L 	 4920148 	 4920265 	 117
2L 	 4933076 	 4933191 	 115
2L	4943153 	 4957993 	 14840
2L 	 4982420 	 4982524 	 104
2L	4997492 	 4997787 	 295
2L	5003037 	 5004515 	 1478
2L	5039991 	 5040141 	 150
2L 	 5053602 	 5053713 	 111
2L	5060459 	 5060523 	 64
2L	5105580 	 5107594 	 2014
2L 	 5175896 	 5176020 	 124
2L	5189471 	 5206165 	 16694
2L	5249137 	 5250710 	 1573
2L 	 5273918 	 5274039 	 121
2L	5285091 	 5287875 	 2784
2L	5291656 	 5291831 	 175
2L	5317771 	 5320834 	 3063
2L 	 5344274 	 5344367 	 93
2L	5361828 	 5371450 	 9622
2L	5395334 	 5403625 	 8291
2L 	 5433817 	 5433938 	 121
2L 	 5446307 	 5446411 	 104
2L	5480557 	 5483265 	 2708
2L	5490943 	 5494171 	 3228
2L 	 5507596 	 5507697 	 101
2L 	 5537482 	 5537581 	 99
2L	5545928 	 5555123 	 9195
2L	5563674 	 5564762 	 1088
2L 	 5572495 	 5572618 	 123
2L	5581951 	 5583144 	 1193
2L	5585156 	 5585602 	 446
2L 	 5607201 	 5607317 	 116
2L 	 5622117 	 5622230 	 113
2L 	 5630275 	 5630386 	 111
2L	5636252 	 5637377 	 1125
2L 	 5639630 	 5639753 	 123
2L	5648029 	 5648658 	 629
2L	5663722 	 5668299 	 4577
2L	5688997 	 5689782 	 785
2L	5704668 	 5704985 	 317
2L 	 5710848 	 5710972 	 124
2L	5765689 	 5768628 	 2939
2L	5770268 	 5770408 	 140
2L	5843795 	 5848067 	 4272
2L	5858203 	 5859233 	 1030
2L 	 5863838 	 5863960 	 122
2L	5865633 	 5865750 	 117
2L 	 5869462 	 5869582 	 120
2L	5892712 	 5892921 	 209
2L	5893337 	 5899642 	 6305
2L 	 5921743 	 5921845 	 102
2L 	 5924464 	 5924574 	 110
2L	5926829 	 5938126 	 11297
2L	5961599 	 5963090 	 1491
2L	5966669 	 5982029 	 15360
2L	5982373 	 5993986 	 11613
2L	6008910 	 6011582 	 2672
2L	6016719 	 6017594 	 875
2L	6072838 	 6073763 	 925
2L	6090731 	 6097460 	 6729
2L 	 6097642 	 6097763 	 121
2L	6099895 	 6106138 	 6243
2L 	 6114183 	 6114300 	 117
2L	6119429 	 6129329 	 9900
2L	6132691 	 6134944 	 2253
2L 	 6139322 	 6139433 	 111
2L 	 6139828 	 6139950 	 122
2L	6143299 	 6144009 	 710
2L 	 6154492 	 6154620 	 128
2L 	 6166712 	 6166833 	 121
2L	6173319 	 6173687 	 368
2L 	 6189004 	 6189122 	 118
2L	6196961 	 6197058 	 97
2L 	 6207318 	 6207423 	 105
2L 	 6218015 	 6218112 	 97
2L	6223492 	 6228276 	 4784
2L	6243221 	 6243461 	 240
2L 	 6249572 	 6249691 	 119
2L	6259511 	 6277745 	 18234
2L	6289231 	 6290162 	 931
2L	6332903 	 6333097 	 194
2L 	 6390238 	 6390348 	 110
2L	6395299 	 6417360 	 22061
2L 	 6430938 	 6431009 	 71
2L 	 6458811 	 6458921 	 110
2L	6461967 	 6462479 	 512
2L 	 6485094 	 6485218 	 124
2L	6505830 	 6506004 	 174
2L	6510576 	 6511753 	 1177
2L 	 6538252 	 6538372 	 120
2L 	 6561573 	 6561680 	 107
2L	6566413 	 6570981 	 4568
2L	6577411 	 6577868 	 457
2L	6606147 	 6612074 	 5927
2L	6619492 	 6619586 	 94
2L 	 6634995 	 6635100 	 105
2L	6643143 	 6644734 	 1591
2L	6693666 	 6698069 	 4403
2L	6698565 	 6701389 	 2824
2L 	 6702794 	 6702898 	 104
2L 	 6711514 	 6711628 	 114
2L 	 6730691 	 6730795 	 104
2L 	 6772189 	 6772300 	 111
2L	6796248 	 6798650 	 2402
2L 	 6867256 	 6867368 	 112
2L 	 6877696 	 6877767 	 71
2L 	 6879486 	 6879551 	 65
2L	6889957 	 6890945 	 988
2L	6893340 	 6893396 	 56
2L	6906066 	 6906247 	 181
2L	6918285 	 6928934 	 10649
2L	6947689 	 6948031 	 342
2L 	 6992928 	 6993047 	 119
2L 	 6998337 	 6998433 	 96
2L 	 7003630 	 7003745 	 115
2L 	 7035553 	 7035670 	 117
2L 	 7054041 	 7054149 	 108
2L	7090650 	 7091523 	 873
2L 	 7128465 	 7128589 	 124
2L 	 7146136 	 7146239 	 103
2L	7207006 	 7208866 	 1860
2L	7299465 	 7299552 	 87
2L	7340586 	 7341848 	 1262
2L 	 7346516 	 7346561 	 45
2L 	 7348117 	 7348227 	 110
2L	7361504 	 7361636 	 132
2L	7406851 	 7411622 	 4771
2L 	 7417315 	 7417414 	 99
2L	7466157 	 7470659 	 4502
2L	7497256 	 7497319 	 63
2L 	 7512094 	 7512195 	 101
2L	7518161 	 7519074 	 913
2L	7526080 	 7526231 	 151
2L	7526408 	 7531146 	 4738
2L 	 7549863 	 7549969 	 106
2L	7559484 	 7560985 	 1501
2L 	 7568544 	 7568641 	 97
2L	7580528 	 7580693 	 165
2L	7591033 	 7596509 	 5476
2L 	 7605831 	 7605933 	 102
2L	7613260 	 7614835 	 1575
2L	7619276 	 7619337 	 61
2L 	 7673969 	 7674085 	 116
2L	7682407 	 7682529 	 122
2L 	 7695338 	 7695461 	 123
2L 	 7731486 	 7731581 	 95
2L 	 7738046 	 7738078 	 32
2L 	 7745752 	 7745815 	 63
2L 	 7749157 	 7749221 	 64
2L	7756385 	 7758094 	 1709
2L	7758912 	 7759106 	 194
2L	7768210 	 7771433 	 3223
2L	7837077 	 7840457 	 3380
2L	7856037 	 7856336 	 299
2L	7860069 	 7862540 	 2471
2L	7874123 	 7907354 	 33231
2L	7912361 	 7923364 	 11003
2L	7933479 	 7933995 	 516
2L	7952485 	 7952823 	 338
2L 	 7982395 	 7982516 	 121
2L 	 7999122 	 7999242 	 120
2L 	 8010287 	 8010321 	 34
2L 	 8015771 	 8015816 	 45
2L	8047298 	 8048915 	 1617
2L 	 8103214 	 8103313 	 99
2L	8127627 	 8134984 	 7357
2L 	 8146430 	 8146549 	 119
2L	8158190 	 8169447 	 11257
2L 	 8169831 	 8169954 	 123
2L	8185425 	 8186710 	 1285
2L	8194097 	 8196900 	 2803
2L 	 8222509 	 8222611 	 102
2L	8223421 	 8231397 	 7976
2L	8263471 	 8263535 	 64
2L	8265282 	 8265513 	 231
2L 	 8319134 	 8319251 	 117
2L 	 8319526 	 8319650 	 124
2L 	 8351031 	 8351068 	 37
2L 	 8355002 	 8355091 	 89
2L	8376538 	 8376670 	 132
2L 	 8378149 	 8378246 	 97
2L 	 8400387 	 8400511 	 124
2L 	 8406819 	 8406929 	 110
2L	8437586 	 8438355 	 769
2L	8451367 	 8452209 	 842
2L 	 8455557 	 8455635 	 78
2L	8468848 	 8468913 	 65
2L	8482503 	 8482553 	 50
2L	8498200 	 8500455 	 2255
2L	8504590 	 8505463 	 873
2L	8560288 	 8572340 	 12052
2L 	 8576006 	 8576127 	 121
2L 	 8593310 	 8593426 	 116
2L 	 8595230 	 8595316 	 86
2L 	 8597086 	 8597203 	 117
2L 	 8597552 	 8597584 	 32
2L	8610539 	 8612056 	 1517
2L	8616357 	 8631808 	 15451
2L 	 8632800 	 8632921 	 121
2L	8655176 	 8656025 	 849
2L	8664444 	 8665263 	 819
2L	8675145 	 8702935 	 27790
2L 	 8721617 	 8721685 	 68
2L	8733580 	 8734430 	 850
2L	8761075 	 8762937 	 1862
2L	8779040 	 8780774 	 1734
2L 	 8782963 	 8783083 	 120
2L	8792639 	 8792789 	 150
2L	8812549 	 8813763 	 1214
2L	8814650 	 8815075 	 425
2L	8820186 	 8821092 	 906
2L	8851663 	 8863551 	 11888
2L	8863699 	 8893423 	 29724
2L	8902862 	 8908865 	 6003
2L	8915727 	 8931539 	 15812
2L	8940628 	 8951729 	 11101
2L	8976154 	 8979566 	 3412
2L	8980281 	 8981607 	 1326
2L	8984580 	 8985935 	 1355
2L 	 9009009 	 9009049 	 40
2L	9037372 	 9039420 	 2048
2L	9107937 	 9109255 	 1318
2L 	 9110014 	 9110135 	 121
2L	9170463 	 9176524 	 6061
2L	9234523 	 9234594 	 71
2L	9239526 	 9240450 	 924
2L	9256021 	 9256739 	 718
2L 	 9292663 	 9292766 	 103
2L	9301745 	 9308027 	 6282
2L	9310493 	 9324879 	 14386
2L	9344571 	 9345129 	 558
2L	9360128 	 9370769 	 10641
2L	9374126 	 9380191 	 6065
2L 	 9385854 	 9385884 	 30
2L 	 9403760 	 9403877 	 117
2L	9404186 	 9409128 	 4942
2L	9410168 	 9411062 	 894
2L	9421839 	 9426859 	 5020
2L	9448291 	 9448368 	 77
2L 	 9458457 	 9458578 	 121
2L 	 9476793 	 9476836 	 43
2L 	 9476918 	 9477001 	 83
2L 	 9480146 	 9480211 	 65
2L 	 9481483 	 9481576 	 93
2L 	 9481524 	 9481576 	 52
2L 	 9483668 	 9483729 	 61
2L 	 9486239 	 9486314 	 75
2L	9502752 	 9502804 	 52
2L	9503898 	 9504002 	 104
2L 	 9515454 	 9515576 	 122
2L 	 9562080 	 9562198 	 118
2L 	 9578584 	 9578706 	 122
2L	9595990 	 9596054 	 64
2L 	 9606776 	 9606882 	 106
2L	9612408 	 9613131 	 723
2L 	 9619497 	 9619617 	 120
2L	9621465 	 9621515 	 50
2L	9624594 	 9629813 	 5219
2L	9646181 	 9647945 	 1764
2L	9678212 	 9678322 	 110
2L	9690585 	 9690649 	 64
2L	9725251 	 9734722 	 9471
2L	9750518 	 9752102 	 1584
2L 	 9777314 	 9777415 	 101
2L	9786404 	 9787701 	 1297
2L 	 9797279 	 9797401 	 122
2L	9853329 	 9859444 	 6115
2L	9866155 	 9867445 	 1290
2L 	 9936995 	 9937028 	 33
2L 	 9937167 	 9937260 	 93
2L 	 9973694 	 9973784 	 90
2L 	 9977016 	 9977118 	 102
2L 	 9981788 	 9981885 	 97
2L 	 9990512 	 9990636 	 124
2L 	 10004266 	 10004390 	 124
2L	10008749 	 10017403 	 8654
2L	10066814 	 10068862 	 2048
2L	10123421 	 10125656 	 2235
2L 	 10142612 	 10142687 	 75
2L 	 10217478 	 10217597 	 119
2L	10225799 	 10227953 	 2154
2L 	 10259225 	 10259331 	 106
2L	10292430 	 10292615 	 185
2L	10292890 	 10293927 	 1037
2L	10299973 	 10303709 	 3736
2L 	 10318911 	 10319030 	 119
2L	10319494 	 10321622 	 2128
2L	10329971 	 10333111 	 3140
2L	10337829 	 10345800 	 7971
2L	10361069 	 10366404 	 5335
2L	10387408 	 10387590 	 182
2L 	 10408161 	 10408277 	 116
2L	10460312 	 10465974 	 5662
2L	10478769 	 10480213 	 1444
2L 	 10505548 	 10505659 	 111
2L	10511217 	 10515607 	 4390
2L	10531918 	 10532139 	 221
2L	10554184 	 10561027 	 6843
2L	10563535 	 10569253 	 5718
2L	10575427 	 10575590 	 163
2L 	 10584952 	 10585013 	 61
2L 	 10593517 	 10593559 	 42
2L	10599753 	 10602249 	 2496
2L 	 10609695 	 10609808 	 113
2L	10634780 	 10636595 	 1815
2L	10695362 	 10697448 	 2086
2L 	 10697622 	 10697669 	 47
2L	10737541 	 10739035 	 1494
2L	10765378 	 10766033 	 655
2L	10779015 	 10786588 	 7573
2L	10810283 	 10810344 	 61
2L	10817616 	 10831938 	 14322
2L	10836757 	 10837220 	 463
2L	10838823 	 10844652 	 5829
2L	10849764 	 10853437 	 3673
2L	10901014 	 10904365 	 3351
2L	10904979 	 10906637 	 1658
2L 	 10959612 	 10959709 	 97
2L	10971141 	 11010274 	 39133
2L	11041928 	 11043495 	 1567
2L 	 11072087 	 11072191 	 104
2L	11072801 	 11098650 	 25849
2L	11115930 	 11117361 	 1431
2L	11127554 	 11127885 	 331
2L 	 11131258 	 11131372 	 114
2L	11145040 	 11146516 	 1476
2L 	 11147383 	 11147491 	 108
2L 	 11153997 	 11154121 	 124
2L	11154346 	 11159086 	 4740
2L	11161618 	 11176587 	 14969
2L	11194171 	 11196327 	 2156
2L 	 11196636 	 11196751 	 115
2L 	 11208135 	 11208256 	 121
2L	11218787 	 11218955 	 168
2L 	 11221719 	 11221821 	 102
2L 	 11225712 	 11225835 	 123
2L	11280526 	 11282879 	 2353
2L	11295731 	 11300940 	 5209
2L 	 11304763 	 11304861 	 98
2L 	 11317462 	 11317537 	 75
2L	11319765 	 11327690 	 7925
2L	11337396 	 11348251 	 10855
2L	11350732 	 11350821 	 89
2L	11357654 	 11361470 	 3816
2L	11366129 	 11370444 	 4315
2L	11373970 	 11374149 	 179
2L	11380163 	 11381984 	 1821
2L	11384958 	 11386969 	 2011
2L	11391164 	 11394662 	 3498
2L	11402357 	 11402487 	 130
2L	11417344 	 11417478 	 134
2L 	 11420008 	 11420126 	 118
2L 	 11441627 	 11441732 	 105
2L	11509637 	 11510490 	 853
2L 	 11515112 	 11515231 	 119
2L	11518646 	 11521925 	 3279
2L 	 11542878 	 11542959 	 81
2L 	 11547481 	 11547541 	 60
2L 	 11547706 	 11547773 	 67
2L	11562505 	 11562841 	 336
2L 	 11565845 	 11565910 	 65
2L 	 11591736 	 11591834 	 98
2L	11605484 	 11606855 	 1371
2L	11652007 	 11680516 	 28509
2L	11686436 	 11689209 	 2773
2L 	 11715451 	 11715489 	 38
2L 	 11717639 	 11717742 	 103
2L	11721461 	 11721668 	 207
2L	11730161 	 11735606 	 5445
2L 	 11751901 	 11752004 	 103
2L 	 11755691 	 11755740 	 49
2L 	 11765875 	 11765953 	 78
2L	11770553 	 11773271 	 2718
2L	11778649 	 11789006 	 10357
2L	11801787 	 11810115 	 8328
2L 	 11825608 	 11825729 	 121
2L	11826328 	 11829141 	 2813
2L 	 11839895 	 11840008 	 113
2L 	 11867968 	 11868069 	 101
2L	11878088 	 11881224 	 3136
2L 	 11890857 	 11890968 	 111
2L 	 11912501 	 11912607 	 106
2L	11922381 	 11926612 	 4231
2L 	 11961993 	 11962113 	 120
2L 	 11995735 	 11995768 	 33
2L 	 11997513 	 11997606 	 93
2L	12023884 	 12027099 	 3215
2L	12028027 	 12045953 	 17926
2L	12048220 	 12048389 	 169
2L	12048842 	 12053974 	 5132
2L 	 12067552 	 12067649 	 97
2L	12076995 	 12079063 	 2068
2L	12080157 	 12081727 	 1570
2L	12088841 	 12089809 	 968
2L	12093936 	 12101119 	 7183
2L	12128755 	 12129090 	 335
2L	12140926 	 12141784 	 858
2L 	 12148753 	 12148874 	 121
2L	12176446 	 12178144 	 1698
2L	12190903 	 12192451 	 1548
2L 	 12217262 	 12217315 	 53
2L 	 12218669 	 12218742 	 73
2L 	 12222410 	 12222527 	 117
2L 	 12277438 	 12277535 	 97
2L	12324206 	 12324670 	 464
2L	12346327 	 12346904 	 577
2L	12355788 	 12356729 	 941
2L 	 12374227 	 12374275 	 48
2L 	 12378232 	 12378312 	 80
2L	12421891 	 12423799 	 1908
2L 	 12440038 	 12440156 	 118
2L	12451273 	 12454047 	 2774
2L 	 12557209 	 12557245 	 36
2L 	 12557327 	 12557417 	 90
2L 	 12557838 	 12557945 	 107
2L 	 12563580 	 12563623 	 43
2L 	 12604523 	 12604634 	 111
2L 	 12607201 	 12607319 	 118
2L	12621553 	 12623653 	 2100
2L	12642505 	 12652231 	 9726
2L 	 12660000 	 12660121 	 121
2L	12692450 	 12694007 	 1557
2L	12715202 	 12719109 	 3907
2L 	 12734834 	 12734895 	 61
2L	12746091 	 12749900 	 3809
2L	12756677 	 12759560 	 2883
2L	12760146 	 12776553 	 16407
2L 	 12785845 	 12785921 	 76
2L 	 12789127 	 12789189 	 62
2L	12831907 	 12832121 	 214
2L	12856605 	 12856711 	 106
2L	12875198 	 12882323 	 7125
2L	12890727 	 12890949 	 222
2L	12901729 	 12901916 	 187
2L	12910162 	 12919956 	 9794
2L	12945251 	 12945382 	 131
2L 	 12946844 	 12946945 	 101
2L	12979394 	 12980954 	 1560
2L	12988086 	 12999212 	 11126
2L	12999744 	 13003625 	 3881
2L	13018338 	 13023413 	 5075
2L	13069701 	 13071201 	 1500
2L	13078935 	 13079131 	 196
2L	13088760 	 13088873 	 113
2L	13095059 	 13126442 	 31383
2L	13127319 	 13128211 	 892
2L 	 13142261 	 13142365 	 104
2L 	 13196830 	 13196942 	 112
2L	13206469 	 13206658 	 189
2L	13230040 	 13230665 	 625
2L	13234852 	 13238196 	 3344
2L	13239522 	 13242679 	 3157
2L	13267778 	 13270629 	 2851
2L	13294145 	 13300900 	 6755
2L	13301474 	 13301844 	 370
2L	13309433 	 13317600 	 8167
2L	13323995 	 13333359 	 9364
2L 	 13339844 	 13339965 	 121
2L 	 13345295 	 13345405 	 110
2L	13345847 	 13345988 	 141
2L	13357233 	 13357292 	 59
2L 	 13404559 	 13404677 	 118
2L 	 13406707 	 13406811 	 104
2L	13413244 	 13416045 	 2801
2L	13436030 	 13436509 	 479
2L	13444231 	 13444335 	 104
2L 	 13449712 	 13449763 	 51
2L 	 13453892 	 13453949 	 57
2L	13460497 	 13484639 	 24142
2L 	 13486300 	 13486422 	 122
2L 	 13516148 	 13516269 	 121
2L 	 13518653 	 13518709 	 56
2L 	 13522823 	 13522946 	 123
2L 	 13524440 	 13524563 	 123
2L 	 13524501 	 13524563 	 62
2L 	 13538463 	 13538528 	 65
2L 	 13565505 	 13565583 	 78
2L	13581841 	 13583317 	 1476
2L	13584979 	 13585271 	 292
2L	13588198 	 13588419 	 221
2L	13590681 	 13593214 	 2533
2L	13621385 	 13623830 	 2445
2L	13639761 	 13640144 	 383
2L	13642800 	 13643909 	 1109
2L 	 13650301 	 13650370 	 69
2L 	 13656789 	 13656857 	 68
2L 	 13658359 	 13658395 	 36
2L 	 13664606 	 13664653 	 47
2L	13667041 	 13678945 	 11904
